U,V,W,T_SONIC,CO2,H2O,SA_DIAG,GA_DIAG,T_CELL,T_CELL_IN,T_CELL_OUT,PRESS_CELL
-2.59818,4.23013,-1.62595,301.15,351.076,15.6405,1,8191,28.5792,30.9018,27.9985,96.8953
-1.95925,4.28835,-1.59672,301.151,351.114,15.6437,2,8191,28.566,30.9005,27.9823,96.8935
-2.53216,4.19721,-1.5382,301.145,351.14,15.6463,3,8191,28.5548,30.8884,27.9714,96.8946
-2.70725,4.02119,-1.1661,301.143,351.197,15.6493,4,8191,28.6218,30.9055,28.0508,96.8927
-2.69465,3.79801,-1.54117,301.18,351.127,15.643,5,8191,28.612,30.9018,28.0396,96.8911
-2.70271,3.72999,-1.53388,301.149,351.154,15.6448,6,8191,28.6213,30.903,28.0508,96.8982
-2.80858,4.0152,-1.29451,301.133,351.066,15.6407,7,8191,28.6001,30.8918,28.0272,96.8988
-2.96543,3.90258,-1.27302,301.294,351.073,15.6458,8,8191,28.6133,30.8881,28.0446,96.9049
-3.01026,3.95942,-1.4826,301.399,351.325,15.6542,9,8191,28.6131,30.8918,28.0434,96.9063
-2.93302,3.62354,-1.56216,301.368,351.131,15.638,10,8191,28.6452,30.903,28.0807,96.9051
-3.16658,3.67748,-1.51959,301.367,351.123,15.6416,1,8191,28.6188,30.9154,28.0446,96.902
-3.26415,3.83671,-1.5806,301.512,350.961,15.6468,2,8191,28.6061,30.9166,28.0284,96.899
-3.18611,4.13007,-1.43486,301.491,350.724,15.6614,3,8191,28.6063,30.908,28.0309,96.8986
-2.96191,4.20672,-1.41171,301.388,350.718,15.6777,4,8191,28.5836,30.9092,28.0023,96.8996
-2.77667,4.48628,-1.39261,301.394,350.73,15.6892,5,8191,28.6178,30.9104,28.0446,96.8972
-2.59306,4.47294,-1.01734,301.407,350.461,15.7178,6,8191,28.5916,30.9142,28.011,96.899
-2.37702,4.3584,-1.24139,301.4,350.454,15.7379,7,8191,28.6038,30.9253,28.0234,96.9075
-2.54447,4.01276,-1.19094,301.397,350.531,15.7519,8,8191,28.6171,30.867,28.0546,96.8973
-2.7809,4.14065,-1.12886,301.389,350.713,15.7621,9,8191,28.6504,30.8745,28.0944,96.9094
-2.83362,4.49262,-1.11662,301.411,350.621,15.7592,10,8191,28.6467,30.9055,28.082,96.9063
-2.89394,4.34149,-1.12984,301.41,350.522,15.7634,1,8191,28.5725,30.8832,27.9948,96.9033
-2.55746,4.71345,-1.68819,301.394,350.558,15.7665,2,8191,28.5528,30.8894,27.9686,96.8966
-2.35253,4.48261,-1.59664,301.36,350.652,15.7709,3,8191,28.5428,30.8695,27.9611,96.9008
-2.52018,4.00152,-1.66723,301.362,350.726,15.7738,4,8191,28.5832,30.8621,28.0135,96.8972
-2.71134,4.46676,-2.14256,301.34,350.647,15.7779,5,8191,28.5966,30.8844,28.0247,96.8984
-2.47472,4.52307,-2.16022,301.342,350.687,15.7816,6,8191,28.5989,30.8708,28.0309,96.9014
-2.52006,4.28283,-2.18855,301.36,350.775,15.7784,7,8191,28.6447,30.9154,28.077,96.9094
-2.5305,4.3206,-1.90198,301.355,350.713,15.7715,8,8191,28.6086,30.8794,28.0409,96.9039
-2.56571,4.28632,-1.7917,301.336,350.729,15.7744,9,8191,28.5792,30.9067,27.9973,96.9063
-2.4113,4.2873,-1.8431,301.33,350.659,15.7686,10,8191,28.5856,30.9042,28.006,96.899
-2.53365,4.30433,-1.85816,301.334,350.697,15.7722,1,8191,28.625,30.9117,28.0533,96.8978
-2.45272,4.59927,-1.93587,301.45,350.699,15.7722,2,8191,28.5904,30.903,28.0122,96.8972
-2.33428,4.60081,-1.75938,301.565,350.708,15.762,3,8191,28.5826,30.9042,28.0023,96.8935
-2.22453,4.75335,-1.72781,301.538,350.805,15.7661,4,8191,28.5734,30.898,27.9923,96.896
-2.28055,4.45753,-1.52813,301.551,350.771,15.7699,5,8191,28.5762,30.9117,27.9923,96.8929
-2.37312,4.41501,-1.80982,301.46,350.635,15.7782,6,8191,28.5844,30.8931,28.0072,96.8984
-2.42475,4.0694,-1.86979,301.401,350.402,15.7837,7,8191,28.6021,30.9166,28.0234,96.8923
-2.48022,4.12525,-1.90578,301.243,350.397,15.7907,8,8191,28.6185,30.8894,28.0508,96.8953
-2.61054,4.19213,-1.82106,301.185,350.518,15.7988,9,8191,28.5904,30.898,28.0135,96.8996
-2.7213,4.09565,-1.78691,301.173,350.595,15.7973,10,8191,28.6265,30.8993,28.0583,96.896
-2.79345,4.02347,-1.76667,301.176,350.637,15.792,1,8191,28.6145,30.8993,28.0434,96.902
-2.74825,4.10581,-1.74975,301.2,350.736,15.7848,2,8191,28.5827,30.8943,28.0047,96.8972
-2.68591,3.90475,-1.93361,301.205,350.898,15.7729,3,8191,28.5983,30.898,28.0234,96.9002
-2.591,3.75284,-1.97545,301.199,351.059,15.7626,4,8191,28.5948,30.9204,28.0135,96.8972
-2.68046,3.71331,-1.80684,301.194,351.063,15.7533,5,8191,28.6051,30.8918,28.0334,96.8947
-2.71202,3.83328,-1.57881,301.233,351.091,15.7473,6,8191,28.5702,30.877,27.9935,96.8953
-2.78347,4.03936,-1.57115,301.264,351.031,15.7371,7,8191,28.5851,30.8918,28.0085,96.8953
-2.766,4.34588,-1.19196,301.462,351.019,15.7311,8,8191,28.6061,30.877,28.0384,96.896
-2.65057,4.62066,-0.551623,301.681,350.963,15.7339,9,8191,28.6111,30.8869,28.0421,96.8978
-2.39401,4.77617,-0.478569,301.912,350.922,15.7471,10,8191,28.6272,30.903,28.0583,96.9002
-2.27467,4.74433,-0.576857,301.885,350.839,15.7475,1,8191,28.6262,30.9129,28.0546,96.8996
-2.1225,4.70761,-0.55608,301.844,350.611,15.7575,2,8191,28.6302,30.898,28.0633,96.8979
